                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 0.0034,                0.35327,                0.00013,                0.40853,                 1.2016,                0.99726,                      1,                  0.995,                0.91909,                0.99726,                      1,                  0.995,                0.92766,                0.00322,                0.37441,                  1e-05,                0.37908,                 1.4614,              0.0012476,              0.0012476,              0.0012476
                     79,                0.00315,                0.48898,                0.00017,                0.39892,                 1.2091,                0.99727,                      1,                  0.995,                0.94025,                0.99727,                      1,                  0.995,                0.94737,                0.00318,                0.30958,                  1e-05,                0.36384,                 1.4213,              0.0012377,              0.0012377,              0.0012377
                     80,                0.00317,                0.47182,                0.00023,                0.40009,                 1.2168,                      1,                      1,                  0.995,                 0.9453,                      1,                      1,                  0.995,                 0.9092,                0.00302,                0.44683,                  2e-05,                0.39561,                 1.4031,              0.0012278,              0.0012278,              0.0012278
                     81,                 0.0033,                0.41445,                0.00024,                0.40561,                 1.2598,                      1,                      1,                  0.995,                0.93899,                      1,                      1,                  0.995,                0.90599,                0.00298,                0.44036,                  3e-05,                0.40394,                 1.4105,              0.0012179,              0.0012179,              0.0012179
                     82,                0.00305,                0.34834,                0.00017,                 0.3735,                 1.1795,                      1,                      1,                  0.995,                0.92837,                      1,                      1,                  0.995,                 0.9717,                0.00301,                0.32274,                  3e-05,                0.39393,                 1.4153,               0.001208,               0.001208,               0.001208
                     83,                0.00313,                 0.3627,                0.00015,                  0.382,                 1.2031,                      1,                      1,                  0.995,                0.89056,                      1,                      1,                  0.995,                 0.9619,                0.00376,                0.28168,                  2e-05,                0.43098,                 1.5877,              0.0011981,              0.0011981,              0.0011981
                     84,                0.00373,                0.43384,                0.00014,                 0.4254,                 1.3339,                      1,                      1,                  0.995,                0.92127,                      1,                      1,                  0.995,                 0.9835,                0.00357,                0.26566,                  2e-05,                0.43705,                 1.5125,              0.0011882,              0.0011882,              0.0011882
                     85,                0.00355,                0.32141,                0.00016,                0.41687,                 1.3107,                      1,                      1,                  0.995,                0.90948,                      1,                      1,                  0.995,                0.96224,                0.00338,                0.31083,                  1e-05,                0.41736,                 1.5108,              0.0011783,              0.0011783,              0.0011783
                     86,                 0.0038,                0.42078,                0.00024,                 0.4228,                 1.3385,                      1,                      1,                  0.995,                0.90618,                      1,                      1,                  0.995,                0.92842,                0.00357,                0.36282,                  1e-05,                 0.4032,                 1.5768,              0.0011684,              0.0011684,              0.0011684
                     87,                0.00334,                0.42821,                 0.0002,                0.38821,                  1.278,                      1,                      1,                  0.995,                0.93373,                      1,                      1,                  0.995,                0.90955,                0.00312,                0.43443,                  1e-05,                0.40385,                 1.4273,              0.0011585,              0.0011585,              0.0011585
                     88,                0.00324,                0.47189,                0.00015,                0.39254,                 1.2143,                      1,                      1,                  0.995,                0.92386,                      1,                      1,                  0.995,                0.89922,                0.00321,                0.47898,                  1e-05,                0.42238,                 1.4316,              0.0011486,              0.0011486,              0.0011486
                     89,                0.00334,                0.43692,                0.00012,                0.40966,                 1.2174,                      1,                      1,                  0.995,                0.93953,                      1,                      1,                  0.995,                0.91377,                0.00308,                0.43749,                  1e-05,                0.41017,                 1.3861,              0.0011387,              0.0011387,              0.0011387
                     90,                0.00309,                0.33232,                0.00011,                0.38638,                  1.178,                      1,                      1,                  0.995,                0.91643,                      1,                      1,                  0.995,                0.95998,                0.00317,                0.34448,                  1e-05,                 0.3763,                 1.4206,              0.0011288,              0.0011288,              0.0011288
                     91,                0.00312,                0.36476,                0.00014,                0.36953,                 1.2068,                      1,                      1,                  0.995,                0.91177,                      1,                      1,                  0.995,                0.96643,                 0.0033,                0.32679,                  1e-05,                0.41127,                 1.4497,              0.0011189,              0.0011189,              0.0011189
                     92,                0.00303,                0.36506,                0.00016,                 0.3812,                  1.216,                0.99735,                      1,                  0.995,                0.91607,                0.99735,                      1,                  0.995,                0.90636,                 0.0033,                0.47917,                  1e-05,                0.40795,                 1.4111,               0.001109,               0.001109,               0.001109
                     93,                0.00333,                0.49645,                0.00179,                0.43936,                  1.198,                0.99737,                      1,                  0.995,                0.92814,                0.99737,                      1,                  0.995,                0.94588,                0.00292,                0.35169,                  1e-05,                 0.3649,                 1.3483,              0.0010991,              0.0010991,              0.0010991
                     94,                0.00301,                0.33583,                0.00016,                0.38134,                 1.1823,                      1,                      1,                  0.995,                0.90254,                      1,                      1,                  0.995,                0.97411,                0.00345,                0.24681,                  1e-05,                0.39215,                 1.5202,              0.0010892,              0.0010892,              0.0010892
                     95,                0.00329,                0.34502,                0.00013,                 0.3983,                 1.1835,                      1,                      1,                  0.995,                0.89778,                      1,                      1,                  0.995,                 0.9235,                0.00334,                0.42883,                  1e-05,                0.35905,                 1.4709,              0.0010793,              0.0010793,              0.0010793
                     96,                0.00372,                0.34312,                0.00017,                0.41627,                 1.2636,                      1,                      1,                  0.995,                0.92734,                      1,                      1,                  0.995,                0.97265,                0.00319,                0.29005,                  1e-05,                0.37656,                 1.4561,              0.0010694,              0.0010694,              0.0010694
                     97,                0.00338,                0.34774,                0.00017,                0.39794,                 1.2398,                      1,                      1,                  0.995,                0.91085,                      1,                      1,                  0.995,                0.94868,                0.00346,                0.29816,                  2e-05,                0.39929,                 1.5278,              0.0010595,              0.0010595,              0.0010595
                     98,                0.00372,                0.40726,                0.00014,                0.43514,                 1.2454,                      1,                      1,                  0.995,                0.92567,                      1,                      1,                  0.995,                0.95149,                0.00304,                0.32116,                  1e-05,                0.35474,                 1.3826,              0.0010496,              0.0010496,              0.0010496
